Player ID,Player,Team,Agent,Agent Type,Rounds Played,Rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HSP,CSP,CL,Kills Max,K,D,A,FK,FD
46,crashies,NRG,Sova,Initiator,18,0.8,157,0.62,0.67,113.9,0.44,0.28,0.06,0,0.24,,0/5,8,8,13,5,1,0
71,Redgar,TL,Sova,Initiator,24,0.69,125,0.56,0.71,91.5,0.42,0.33,0.04,0.13,0.2,,0/2,10,10,18,8,1,3
5,Less,LOUD,Viper,Controller,111,1.17,240.2,1.32,0.77,150.9,0.86,0.24,0.1,0.06,0.26,0.29,Apr-14,28,96,73,27,11,7
20,CHICHOO,EDG,Viper,Controller,214,1.1,190.9,1.04,0.73,124.2,0.66,0.32,0.05,0.07,0.22,0.19,Aug-42,22,142,136,68,10,15
27,hoody,GIA,Viper,Controller,47,1.09,213,1.13,0.72,149.3,0.74,0.28,0.13,0.13,0.19,,0/5,19,35,31,13,6,6
12,SUYGETSU,NAVI,Viper,Controller,108,1.08,190.8,1.16,0.74,124,0.72,0.2,0.07,0.05,0.3,0.06,Jan-18,24,78,67,22,8,5
42,nAts,TL,Viper,Controller,77,1.05,217.7,1.15,0.79,147.1,0.81,0.17,0.12,0.09,0.28,,0/8,34,62,54,13,9,7
48,MOJJ,FUT,Viper,Controller,151,1.04,209,1.01,0.69,140.8,0.72,0.32,0.14,0.11,0.3,0.17,Apr-24,22,108,107,49,21,16
25,Yosemite,BLG,Viper,Controller,159,1.04,211.4,1.05,0.72,134.5,0.73,0.35,0.1,0.07,0.21,0.18,Apr-22,26,116,111,55,16,11
56,Lysoar,FPX,Viper,Controller,20,1.03,207,1.07,0.75,135.9,0.75,0.2,0,0.05,0.28,,0/4,15,15,14,4,0,1
35,Zest,DRX,Viper,Controller,262,1.01,198.1,0.98,0.67,132.4,0.69,0.32,0.1,0.11,0.35,0.19,Jun-32,26,180,184,84,26,28
24,C0M,EG,Viper,Controller,209,1,181.6,1.06,0.72,115.3,0.67,0.32,0.05,0.07,0.2,0.28,Aug-29,21,139,131,66,11,15
57,FiNESSE,NRG,Viper,Controller,112,0.98,187.5,0.74,0.77,124.1,0.52,0.45,0.1,0.07,0.17,0.11,01-Sep,16,58,78,50,8,6
14,d4v41,PRX,Viper,Controller,58,0.95,168.3,0.84,0.71,119.6,0.55,0.21,0.03,0.05,0.25,0.1,01-Oct,15,32,38,12,2,3
41,Chronicle,FNC,Viper,Controller,54,0.95,175.7,0.78,0.65,123.5,0.54,0.26,0.13,0.06,0.22,,0/8,17,29,37,14,7,3
51,xeta,T1,Viper,Controller,109,0.95,187.4,0.96,0.7,118.5,0.64,0.28,0.06,0.1,0.25,0.2,Mar-15,17,70,73,30,7,11
36,mindfreak,PRX,Viper,Controller,70,0.94,147.7,0.84,0.71,102.3,0.53,0.24,0.03,0.07,0.3,0.22,02-Sep,20,37,44,17,2,5
34,saadhak,LOUD,Viper,Controller,151,0.92,177.9,0.82,0.7,124.1,0.55,0.36,0.12,0.13,0.18,0.17,Mar-18,20,83,101,55,18,19
67,NagZ,KRÜ,Viper,Controller,90,0.83,149.5,0.72,0.61,103.5,0.48,0.32,0.04,0.06,0.18,,0/14,13,43,60,29,4,5
72,nizhaoTZH,FPX,Viper,Controller,23,0.69,141,0.69,0.74,98.6,0.48,0.3,0.13,0.04,0.46,,0/3,11,11,16,7,3,1
78,Laz,ZETA,Viper,Controller,28,,,1.05,,,0.71,0.29,,,,,,20,20,19,8,0,0
62,Rb,DRX,Yoru,Duelist,42,1.14,205.5,1.11,0.81,137.7,0.74,0.17,0.24,0.1,0.26,,0/3,23,31,28,7,10,4
21,Ethan,EG,Yoru,Duelist,67,1,234,1.08,0.76,141.6,0.82,0.33,0.18,0.09,0.2,0.5,02-Apr,24,55,51,22,12,6
37,f0rsakeN,PRX,Yoru,Duelist,18,0.72,160,0.6,0.56,97.2,0.5,0.33,0.17,0.17,0.22,,0/1,9,9,15,6,3,3
